title,discount,price,extra_info_1,extra_info_2,extra_info_3,course_subject,likes
파이썬으로 끝내는 반도체 공정 데이터 분석,57%,"209,000원",,약 10시간,사전지식 필요,데이터분석,40+
INNER CIRCLE : Business Analyst Course,내일배움카드,가격 정보 없음,,,,데이터 사이언스,10+
자율주행 로봇을 위한 ROS 2 & SLAM & Nav2 한번에 끝내기,72%,"270,500원",,약 20시간,사전지식 필요,머신러닝,350+
모두를 위한 Business Data Analysis : 설득력을 높이는 일잘러의 데이터 분석 스킬,63%,"157,500원",,약 38시간,누구나,데이터분석,"1,290+"
벡터DB로 구현하는 LLM 기반 검색 엔진 & 유사 상품 추천 시스템 (ft. Pinecone & Langchain),최저가,"261,500원~",,약 33시간,사전지식 필요,머신러닝,810+
7개 프로젝트로 완벽하게 끝내는 AWS 데이터 파이프라인 구축,62%,"452,000원",,약 20시간,사전지식 필요,데이터엔지니어링,320+
10개 프로젝트로 한 번에 끝내는 MLOps 파이프라인 구현 초격차 패키지 Online.,55%,"405,000원",,약 63시간,사전지식 필요,머신러닝,840+
"개발자를 위한 MLOps : 머신러닝 입문부터 추천 시스템 구축, 최적화까지",65%,"274,000원",,약 52시간,직무경험 필요,머신러닝,390+
세계 3등에게 배우는 13개 데이터 분석 프로젝트,41%,"295,000원",,약 36시간,사전지식 필요,데이터분석,980+
[1년 수강] 훈쌤과 함께하는 빅데이터분석기사 필기 4주 최단기 합격패스,3%,"194,000원",,약 34시간,누구나,데이터분석,140+
데이터 분석 Master Class,47%,"199,000원",,약 70시간,누구나,데이터분석,"3,090+"
실시간 데이터 처리 위한 Spark & Flink & Kafka,45%,"544,000원",,약 35시간,사전지식 필요,데이터엔지니어링,290+
한번에 따라하는 파이썬 데이터 분석 기초 완주반,내일배움카드,가격 정보 없음,,,,데이터분석,110+
40개 허깅페이스 실습 코드로 마스터하는 Transformer 활용,61%,"229,000원",,약 8시간,누구나,머신러닝,170+
[1년 수강] 훈쌤과 함께하는 ADsP 4주 최단기 합격패스,28%,"249,000원",,약 57시간,누구나,데이터분석,100+
반도체 설계 기본 Verilog&FPGA,67%,"325,000원",,약 31시간,사전지식 필요,데이터엔지니어링,220+
초격차 패키지 : 50개 프로젝트로 완벽하게 끝내는 머신러닝 SIGNATURE,72%,"273,000원",,약 141시간,누구나,머신러닝,730+
Spark & Elastic Stack을 활용한 데이터 분산 처리,54%,"272,000원",,약 33시간,사전지식 필요,데이터엔지니어링,290+
30개 사례로 배우는 Anomaly Detection 알고리즘 구현과 실전 프로젝트 Online.,17%,"331,000원",,약 62시간,사전지식 필요,머신러닝,310+
데이터 분석을 위한 기초 통계 완전 정복,23%,"130,000원",,약 10시간,누구나,데이터분석,300+
실패 없이 완주하는 파이썬 데이터 분석 입문,27%,"130,000원",,약 10시간,누구나,데이터분석,520+
AutoML 시스템 구축으로 익히는 모델 선택 및 하이퍼파라미터 튜닝,54%,"410,500원",,약 18시간,사전지식 필요,머신러닝,320+
딥러닝/머신러닝을 활용한 시계열 데이터 분석,33%,"231,500원",,약 25시간,누구나,데이터분석,620+
한 번에 끝내는 데이터 엔지니어링 초격차 패키지 Online.,51%,"488,500원",,약 120시간,사전지식 필요,데이터엔지니어링,590+
빅데이터처리 with Spark&Hadoop 초격차 패키지 Online.,66%,"402,500원",,약 100시간,사전지식 필요,데이터엔지니어링,270+
나의 커리어 치트키 데이터 분석 유치원,47%,"207,500원",,약 21시간,누구나,데이터분석,350+
데이터 분석 부트캠프,내일배움카드,가격 정보 없음,,,,데이터분석,50+
세계 1위와 함께하는 AI 취업 부트캠프 | Upstage AI Lab,내일배움카드,가격 정보 없음,,,,데이터 사이언스,20+
머신러닝 서비스 구축을 위한 실전 MLOps,53%,"422,500원",,약 19시간,사전지식 필요,머신러닝,270+
세계 3등에게 배우는 실무 밀착 데이터 시각화,64%,"213,500원",,약 15시간,누구나,데이터분석,940+
파이썬을 활용한 이커머스 데이터 분석,19%,"192,500원",,약 17시간,누구나,데이터분석,350+
