title,price,discount,extra_info_3,likes,extra_info_2,course_subject
제목 없음,가격 정보 없음,할인 없음,추가 정보 없음,좋아요 수 없음,추가 정보 없음,세부 주제 없음
ML/AI 엔지니어 면접 문항 총정리,"₩51,920",20%,초급,39,추가 정보 없음,"머신러닝, 면접대비"
LLM 기초부터 최신 RAG·LangChain까지: 단 5시간 만에 LLM 전문가로 변신!,"₩61,600",30%,초급,4,(4시간 50분),"AI · ChatGPT 활용, 자연어 처리"
"미드저니 비법 클래스, 현직 AI 디자인 전문가의 이미지 프롬프트 엔지니어링 핵심 정리","₩55,440",30%,입문,11,(5시간 2분),"AI · ChatGPT 활용, Midjourney"
CUDA 프로그래밍 (1) - C/C++/GPU 병렬 컴퓨팅 - CUDA 커널 kernel,"₩37,130",24%,중급이상,84,(3시간 42분),"프로그래밍 언어, 딥러닝 · 머신러닝"
React와 Vue로 배우는 TypeScript 필수 개념 (feat. ChatGPT),"₩33,000",25%,초급,120,(2시간 42분),"프론트엔드, TypeScript"
[개정판] 파이썬 머신러닝 완벽 가이드,"₩99,000",할인 없음,초급,"8,104",(37시간 38분),데이터 분석
[2024 개정판] 이것이 진짜 크롤링이다 - 실전편 (인공지능 수익화),"₩154,000",할인 없음,초급,881,(8시간 18분),"데이터 분석, AI · ChatGPT 활용"
시계열 분석과 예측,"₩44,000",할인 없음,중급이상,16,(6시간 6분),"수학, 데이터 분석"
코딩 몰라도 OK! CursorAI로 시작하는 개발 생활 (웹/초급),"₩38,500",할인 없음,입문,27,(1시간 59분),"웹 개발, cursor"
파이썬을 활용한 머신러닝 딥러닝 입문,"₩88,000",할인 없음,입문,197,(21시간 38분),데이터 분석
6일 만에 배우는 파이토치 딥러닝 기초,"₩44,000",할인 없음,초급,36,(7시간 57분),"딥러닝 · 머신러닝, PyTorch"
초보자를 위한 ChatGPT API 활용법 - API 기본 문법부터 12가지 프로그램 제작 배포까지,"₩59,400",할인 없음,초급,367,(7시간 24분),"개발 · 프로그래밍, 자연어 처리"
비전공자를 위한 수학 통계 기초(이론),"₩33,000",할인 없음,입문,51,(2시간 54분),"수학, 데이터 분석"
[개정판] 딥러닝 컴퓨터 비전 완벽 가이드,"₩121,000",할인 없음,중급이상,"4,155",(38시간 5분),"인공지능, 데이터 분석"
딥러닝 CNN 완벽 가이드 - Fundamental 편,"₩110,000",할인 없음,초급,"2,116",(31시간 39분),"인공지능, 데이터 분석"
ChatGPT 100% 활용하여 배우는 파이썬 네트워크 프로그래밍 A to Z,"₩44,000",할인 없음,초급,44,(4시간 42분),"네트워크, 프로그래밍 언어"
ChatGPT 고급 활용법 – 남들보다 100배 더 잘 쓰는 ChatGPT 비법 클래스,"₩119,900",할인 없음,입문,242,(12시간 36분),"업무 자동화, AI · ChatGPT 활용"
[PY 0201] 인공지능을 위한 파이썬 레벨1,"₩11,000",할인 없음,입문,28,(18시간 12분),"Python, 인공지능(AI)"
유니티 머신러닝 에이전트 완전정복 (기초편),"₩66,000",할인 없음,초급,363,(7시간 18분),"게임 프로그래밍, 딥러닝 · 머신러닝"
제목 없음,가격 정보 없음,할인 없음,추가 정보 없음,좋아요 수 없음,추가 정보 없음,세부 주제 없음
[개정판] 파이썬 머신러닝 완벽 가이드,"₩99,000",할인 없음,초급,"8,104",(37시간 38분),데이터 분석
딥러닝 이론 + PyTorch 실무 완전 정복,"₩284,900",할인 없음,초급,296,(13시간 48분),"자연어 처리, 딥러닝"
딥러닝 CNN 완벽 가이드 - Fundamental 편,"₩110,000",할인 없음,초급,"2,116",(31시간 39분),"인공지능, 데이터 분석"
