title,price,discount,extra_info_3,likes,extra_info_2,course_subject
[데이터 분석가로의 진입] 실무에서 바로 쓰는 SQL,"₩38,500",30%,초급,12,(13시간 12분),"데이터 분석, SQL"
파이썬 주식 매매 봇으로 주식시장 자동사냥하기,"₩65,180",24%,초급,13,(15시간 34분),"금융 · 재테크, 투자"
PM을 위한 데이터 리터러시(프로덕트 데이터 분석),"₩132,000",할인 없음,초급,"1,015",(14시간 8분),"기획 · PM· PO, 데이터 분석"
"BigQuery(SQL) 활용편(퍼널 분석, 리텐션 분석)","₩99,000",할인 없음,중급이상,164,(10시간 35분),"데이터 분석, bigquery"
업무가 100배 빨라지는 엑셀 데이터 활용과 분석 노하우,"₩44,000",할인 없음,초급,"2,298",(5시간 11분),"데이터 분석, 오피스"
[백문이불여일타] 데이터 분석을 위한 기초 SQL,"₩16,500",할인 없음,입문,"4,231",(1시간 36분),"데이터 분석, 데이터베이스"
"[퇴근후딴짓] 빅데이터 분석기사 실기 (작업형1,2,3)","₩99,000",할인 없음,입문,479,(20시간 7분),"데이터 사이언스 자격증, 데이터 분석"
[2024년 최신 기출 반영] 빅데이터 분석 기사 실기 시험 100% 합격 ! 기출 문제의 패턴이 보인다 !,"₩23,100",30%,입문,8,(5시간 24분),"데이터 사이언스 자격증, 빅데이터분석기사"
[2024 리뉴얼] 처음하는 SQL과 데이터베이스(MySQL) 부트캠프 [입문부터 활용까지],"₩66,000",할인 없음,초급,"4,376",(8시간 52분),"데이터 분석, 데이터베이스"
엑셀 매크로와 VBA 기초부터 실무활용까지 완전 정복,"₩55,000",할인 없음,중급이상,"1,143",(6시간 2분),"오피스, 데이터 분석"
코딩없이 시작하는 엑셀 크롤링. WEB부터 ChatGPT API까지,"₩69,300",할인 없음,입문,24,(3시간 1분),"업무 자동화, 오피스"
스마트요원에게 배우는 구글 스프레드시트,"₩55,000",할인 없음,입문,506,(5시간 17분),오피스
"시작하는 PM/PO들에게 알려주고 싶은, 프로덕트의 모든 것","₩165,000",할인 없음,초급,295,(13시간 50분),"기획 · PM· PO, 데이터 분석"
시계열 분석과 예측,"₩44,000",할인 없음,중급이상,16,(6시간 6분),"수학, 데이터 분석"
8시간 완성 SQLD(2과목),"₩49,500",할인 없음,입문,117,(8시간 40분),"데이터 사이언스 자격증, 개발 · 프로그래밍 자격증"
비전공자를 위한 수학 통계 기초(이론),"₩33,000",할인 없음,입문,51,(2시간 54분),세부 주제 없음
[Data Driven UX] 근거있고 빠른 의사결정을 위한 데이터분석과 프로토타입 제작,"₩110,000",할인 없음,초급,26,(6시간 18분),"UX/UI, 기획 · PM· PO"
실무자를 위한 구글애널리틱스(GA4+GTM) 활용법(24년 Update),"₩84,700",할인 없음,초급,257,(24시간 0분),"마케팅, 데이터 분석"
14년차 마케터에게 배우는 데이터드리븐 디지털/퍼포먼스마케팅의 모든것,"₩121,000",할인 없음,입문,32,(7시간 11분),"마케팅, 기획 · PM· PO"
(2024년) 파이썬 알고리즘 트레이딩 파트1: 알고리즘 트레이딩을 위한 파이썬 데이터 분석,"₩55,000",할인 없음,초급,86,(6시간 4분),"금융 · 재테크, 데이터 분석"
데이터 리터러시 Overview,"₩19,800",할인 없음,입문,13,(2시간 33분),데이터 사이언스
지금 바로 D3.js 시작하기 : 웹 데이터 시각화,"₩33,000",할인 없음,초급,145,(6시간 22분),프론트엔드
파이썬 무료 강의 (활용편6) - 이미지 처리 (OpenCV),가격 정보 없음,할인 없음,초급,384,(5시간 40분),"개발 · 프로그래밍, OpenCV"
아두이노를 이용한 기상정보 수집과 빅데이터 분석,가격 정보 없음,할인 없음,입문,114,(1시간 30분),"데이터 분석, 임베디드 · IoT"
파이썬 주식 매매 봇으로 주식시장 자동사냥하기,"₩65,180",24%,초급,13,(15시간 34분),"금융 · 재테크, 투자"
초보자를 위한 쉬운 파이썬 기초와 데이터 분석,"₩50,600",8%,입문,19,(5시간 52분),"데이터 분석, Python"
AI시대 데이터 직군을 위한 생존 전략,가격 정보 없음,할인 없음,입문,122,(1시간 39분),"데이터 분석, 커리어고민"
[멘토링] 데이터로 미래를 그리다: 모두를 위한 데이터 리터러시,"₩264,000",할인 없음,입문,58,(5시간 32분),"데이터 분석, 기획 · PM· PO"
Mixpanel로 데이터 들여다보기,"₩49,500",할인 없음,입문,41,(5시간 56분),기획 · PM· PO
[PL 0302] 넘파이 마스터 클래스,"₩45,100",할인 없음,입문,7,(27시간 33분),"Numpy, 인공지능(AI)"
"실무 활용 엑셀: 수식, 파워 쿼리, DAX로 데이터 분석과 대시보드 만들기","₩50,600",할인 없음,입문,11,(15시간 9분),"오피스, 데이터 분석"
퀀트 투자를 위한 파이썬 트레이딩룸 만들기 - Part 2,"₩99,000",할인 없음,중급이상,173,(24시간 5분),"데이터 분석, 금융 · 재테크"
금융데이터 분석을 위한 판다스 활용법,"₩55,000",할인 없음,초급,382,(10시간 15분),"데이터 분석, 금융 · 재테크"
제주 하간디 이신 데이터들 Python으로 몬딱 분석해불게,"₩55,000",할인 없음,초급,583,(14시간 58분),세부 주제 없음
QGIS 입문자 올인원 스타터팩 (이론/실습형),"₩148,500",할인 없음,입문,10,(10시간 41분),"데이터 분석, QGIS"
"5분빨리 퇴근하자! 파이썬 데이터 분석, 시각화, 웹 대시보드 제작하기","₩44,000",할인 없음,초급,85,(14시간 51분),데이터 분석
퀀트 투자를 위한 파이썬 트레이딩룸 만들기 - Part 3,"₩99,000",할인 없음,중급이상,48,(18시간 25분),"금융 · 재테크, 데이터 분석"
데이터분석에 ChatGPT 강림,"₩33,000",할인 없음,초급,58,(2시간 43분),"데이터 분석, AI · ChatGPT 활용"
퀀트 투자를 위한 파이썬 트레이딩룸 만들기 - Part 1,"₩77,000",할인 없음,초급,373,(8시간 47분),"데이터 분석, 금융 · 재테크"
[리뉴얼] SQL 베이스캠프,가격 정보 없음,할인 없음,입문,630,(5시간 41분),"데이터베이스, 데이터 분석"
데이터 리터러시의 이해,가격 정보 없음,할인 없음,입문,25,(5시간 26분),"데이터 분석, Orange3"
대용랑 채팅 TPS에 대한 stateful 서비스 구축하기,"₩47,300",할인 없음,초급,206,(3시간 46분),"백엔드, Kafka"
[실전]텍스톰 TEXTOM 실전 강의: 빅데이터 논문 작성을 위한 텍스트 분석/텍스트마이닝,"₩69,300",할인 없음,입문,17,(9시간 38분),데이터 분석
ADsP 2주 합격 올인원 패스,"₩119,900",할인 없음,입문,111,(25시간 1분),"데이터 분석, 데이터 사이언스 자격증"
데이터 기반 디지털트랜스포메이션 - DT 전략 마스터 클래스,"₩108,900",할인 없음,입문,33,(5시간 4분),"데이터 분석, 기획 · PM· PO"
최반장의 엑셀 피벗테이블 마스터 클래스,"₩55,000",할인 없음,초급,"1,262",(6시간 14분),"오피스, 데이터 분석"
30분 요약 강좌 시즌2 : Python 활용편,가격 정보 없음,할인 없음,입문,311,(3시간 51분),"데이터 분석, 프로그래밍 언어"
중고급 SQL과 실전 데이터 분석 101 문제 풀이 [데이터분석/과학 Part1],"₩66,000",할인 없음,초급,70,(9시간 29분),세부 주제 없음
실리콘밸리 엔지니어와 함께하는 Scala,"₩44,000",할인 없음,초급,23,(3시간 37분),"프로그래밍 언어, 데이터 엔지니어링"
선배 데이터 분석가의 SQL 코딩테스트 노하우 공개 [월간 데이터리안 세미나 다시보기 | 2023년 12월],가격 정보 없음,할인 없음,입문,86,(36분),"데이터 분석, SQL"
실리콘밸리 엔지니어와 함께하는 Apache Airflow,"₩66,000",할인 없음,초급,133,(4시간 6분),데이터 엔지니어링
요즘 핫한 사이드 프로젝트가 데이터 보는 방법 [월간 데이터리안 세미나 다시보기 | 2023년 8월],"₩33,000",할인 없음,입문,19,(2시간 13분),"기획 · PM· PO, 빅데이터"
QGIS 지도 시각화 A to Z (벡터/기초편),"₩60,500",할인 없음,초급,39,(6시간 42분),데이터 분석
내일 당장 써먹을 수 있는 GA4 활용법 [월간 데이터리안 세미나 다시보기 | 2023년 6월],"₩33,000",할인 없음,입문,29,(2시간 1분),마케팅
실전 프로젝트로 배우는 데이터 앱 만들기 with Python & Streamlit,"₩55,000",할인 없음,초급,73,(9시간 21분),"데이터 분석, 웹 개발"
데이터 분석가가 되면 어떤 일을 하나요? [월간 데이터리안 세미나 다시보기 | 2023년 1월],"₩33,000",할인 없음,입문,5,(1시간 56분),"취업 · 이직, 데이터 사이언스"
데이터 분석가 커리어: 사이드 프로젝트부터 퍼블릭 스피킹까지 [월간 데이터리안 세미나 다시보기 | 2022년 12월],"₩11,000",할인 없음,입문,10,(1시간 40분),데이터 분석
데이터 분석가 채용의 모든 것: 이력서부터 면접까지 [월간 데이터리안 세미나 다시보기 | 2022년 8월],"₩11,000",할인 없음,입문,16,(2시간 17분),세부 주제 없음
스스로 성장하는 분석가 커리어 만들기 [월간 데이터리안 세미나 다시보기 | 2022년 6월],"₩11,000",할인 없음,입문,9,(2시간 20분),"취업 · 이직, 데이터 사이언스"
데이터 분석가는 어떤 일을 하나요? [월간 데이터리안 세미나 다시보기 | 2022년 3월],"₩11,000",할인 없음,입문,43,(1시간 57분),"데이터 분석, 취업 · 이직"
태블로 자격증 문제풀이,"₩44,000",할인 없음,초급,16,(1시간 36분),"데이터 사이언스 자격증, Tableau"
엑셀로 만드는 딥러닝 프레임워크,"₩22,000",할인 없음,초급,15,(8시간 45분),데이터 분석
SQL 코딩테스트를 위한 마지막 걸음,"₩22,000",할인 없음,중급이상,44,(1시간 52분),"데이터베이스, 데이터 분석"
실무에 바로 쓰자! 이커머스 데이터로 배우는 실전 SQL 분석,"₩49,500",할인 없음,초급,117,(3시간 43분),"데이터 분석, 기획 · PM· PO"
파이썬을 활용한 데이터분석과 IT보안,"₩99,000",25%,초급,640,(23시간 28분),"데이터 분석, 보안"
파이썬 증권 데이터 수집과 분석으로 신호와 소음 찾기,"₩89,100",할인 없음,초급,"2,270",(21시간 43분),데이터 분석
엑셀로 배우는 기초통계,"₩148,500",할인 없음,초급,51,(6시간 20분),"수학, 데이터 분석"
