title,price,discount,extra_info_3,likes,extra_info_2,course_subject
기초 탄탄! 독하게 시작하는 Java - Part 2 : OOP와 JVM,"₩46,200",30%,초급,66,(20시간 9분),"Java, 객체지향"
모두를 위한 파이썬 : 필수 문법 배우기 Feat. 오픈소스 패키지 배포 (Inflearn Original),"₩55,000",할인 없음,중급이상,"2,861",(9시간 17분),프로그래밍 언어
TS/JS 디자인 패턴 with Canvas: 제로초에게 제대로 배우기,"₩41,580",30%,중급이상,63,(6시간 16분),"디자인 패턴, canvas"
"38군데 합격 비법, 2024 코딩테스트 필수 알고리즘","₩115,500",30%,초급,106,(15시간 33분),"알고리즘 · 자료구조, 코딩 테스트"
"웹 개발의 핵심, HTTP 완벽 마스터하기!","₩38,500",30%,초급,17,(9시간 15분),"네트워크, HTTP"
[SQL 자동화] 실무에서 바로 쓰는 PL/SQL,"₩38,500",30%,입문,5,(12시간 9분),"데이터베이스, PL/SQL"
윤재성의 Kotlin(코틀린) 안드로이드 15 프로그래밍 with Material 3 Part1,"₩61,600",30%,초급,1,(19시간 29분),"모바일 앱 개발, Kotlin"
비전공자도 이해할 수 있는 쿠버네티스 입문/실전,"₩53,900",30%,초급,58,(4시간 46분),"데브옵스 · 인프라, Kubernetes"
1시간만에 치킨콤보값으로 배우는 서버 배포,"₩15,400",30%,초급,21,(1시간 9분),"데브옵스 · 인프라, 백엔드"
[2024] 한입 크기로 잘라 먹는 리액트(React.js) : 기초부터 실전까지,"₩36,300",25%,초급,"4,790",(18시간 28분),"프론트엔드, 웹 개발"
"Git & GitHub, 원리부터 차근차근 - 근본 깃 [완성편]","₩44,000",20%,입문,60,(8시간 9분),"개발 도구, Git"
한 번에 끝내는 자바스크립트: 바닐라 자바스크립트로 SPA 개발까지,"₩27,500",21%,초급,125,(9시간 42분),"프론트엔드, JavaScript"
한 입 크기로 잘라먹는 Next.js(v15),"₩36,300",25%,초급,313,(15시간 33분),"프론트엔드, Next.js"
시니어 면접관이 알려주는 개발자 취업과 이직 한방에 해결하기 [이론편],"₩17,600",20%,초급,64,(3시간 14분),"취업 · 이직, 개발자취업"
FastAPI 완벽 가이드,"₩61,600",20%,중급이상,91,(25시간 8분),세부 주제 없음
아키텍처와 함께하는 부하(성능) 테스트 with Locust,"₩23,760",20%,초급,17,(5시간 44분),"데브옵스 · 인프라, locust"
처음 만난 AWS,"₩38,500",22%,입문,123,(5시간 3분),"클라우드, 데브옵스 · 인프라"
팀시티로 시작하는 CI/CD 배포 요정이 되어보자!,"₩56,100",15%,초급,6,(2시간 58분),"데브옵스 · 인프라, teamcity"
"BigQuery(SQL) 활용편(퍼널 분석, 리텐션 분석)","₩99,000",할인 없음,중급이상,164,(10시간 35분),"데이터 분석, bigquery"
예제로 공부하는 Python 100 문제풀이 Part.2,"₩49,500",할인 없음,초급,"91,306",(8시간 27분),프로그래밍 언어
